"제안번호","제안제목","제안내용","제안등록일자"
"192222","북부 직업훈련원  본부 장애인 화장실  문고리 중앙으로","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192222","2022-03-10 22:40:32.0"
"192221","수도요금 고지서를 개선하여 시민들에게 납부편의(식별용이)를 제공해 주세요!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192221","2022-03-10 22:22:22.0"
"192220","환경미화원 안전과 인권을 위해 작업시간 변경을 요청합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192220","2022-03-10 19:10:58.0"
"192219","비리가 없는 공무직 채용으로 바꿔주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192219","2022-03-10 18:20:48.0"
"192218","희년제도부활 희년자유경제특구개발130. 5개년","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192218","2022-03-10 07:29:25.0"
"192217","서울복합물류센터 월주차 문제","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192217","2022-03-09 23:39:09.0"
"192216","강북구 유치원 교사 구청 지원금","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192216","2022-03-09 11:12:01.0"
"192215","서울예술인안정지원금 자격요건 완화 요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192215","2022-03-07 16:41:04.0"
"192214","코로나시대 화장장 자리부족","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192214","2022-03-07 13:05:41.0"
"192213","강남 롯데칠성부지로 경부선 고속버스터미널을 이전시키는 것은 어떨까요?","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192213","2022-03-07 01:16:22.0"
"192212","서울역 노숙인","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192212","2022-03-06 23:36:55.0"
"192211","서울 남부터미널 개발","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192211","2022-03-06 21:54:02.0"
"192210","산불예방준비","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192210","2022-03-06 20:15:15.0"
"192209","세빛섬이나 한강시민공원에  알파카 동물 거닐게 해요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192209","2022-03-06 19:52:31.0"
"192208","&#34;당신이 따뜻해서 봄이 왔습니다&#34;  제안합니다^^","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192208","2022-03-06 13:10:29.0"
"192207","전기차택시 추첨제 기다리던 대기자","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192207","2022-03-06 10:20:36.0"
